"junior" "senior" "rule"
"Rangwapithecus_sp_RUD_12_et_44_et_77" "Rangwapithecus_gordoni" "Rule 2B"
"Chalicomomys_antelucanus" "Micromomys_silvercouleei" "Rule 1B"
"Chalicomomys_antelucanus" "Dryomomys_szalayi" "Rule 2B"
"Chalicomomys_antelucanus" "Foxomomys_fremdi" "Rule 2B"
"Chalicomomys_antelucanus" "Tinimomys_graybulliensis" "Rule 2B"
"Micromomys_silvercouleei" "Dryomomys_szalayi" "Rule 2B"
"Micromomys_silvercouleei" "Foxomomys_fremdi" "Rule 2B"
"Micromomys_silvercouleei" "Tinimomys_graybulliensis" "Rule 2B"
"Homo_georgicus" "Homo_naledi" "Rule 1B"
"Copelemur_australotutus" "Copelemur_tutus" "Rule 1B"
"Euoticus_pallidus" "Euoticus_elegantulus" "Rule 2B"
"AnchomomysHuerzeleris_quercyi" "AnchomomysFendantia_pygmaeus" "Rule 2B"
"AnchomomysHuerzeleris_quercyi" "Anchomomys_frontanyensis" "Rule 2B"
"AnchomomysHuerzeleris_quercyi" "Anchomomys_milleri" "Rule 2B"
"AnchomomysHuerzeleris_quercyi" "Anchomomys_gaillardi" "Rule 2B"
"Indraloris_himalayensis" "Indraloris_sp_YGSP_32152" "Rule 1B"
"Kyitchaungia_takaii" "Paukkaungia_parva" "Rule 2B"
"Cantius_UM_81825" "Cantius_UM_86543" "Rule 1B"
"Micromomyidae_indet_Beardskull" "Micromomyidae_indet_Gunnellskull" "Rule 1B"
"Adapis_sp_QU_408" "Adapis_sp_QU_613" "Rule 1B"
"Adapis_sp_QU_408" "Adapis_parisiensis" "Rule 2B"
"Adapis_sp_QU_613" "Adapis_parisiensis" "Rule 2B"
"Simiolus_minutus" "Simiolus_enjiessi" "Rule 2B"
"Micropithecus_leakeyorum" "Micropithecus_clarki" "Rule 2B"
"Saxonella_naylori" "Saxonella_crepaturae" "Rule 2B"
"Sivaladapis_palaeindicus" "Sivaladapis_nagrii" "Rule 2B"
"Dryopithecus_brancoi" "Dryopithecus_crusafonti" "Rule 1B"
"Dryopithecus_brancoi" "Dryopithecus_fontani" "Rule 1B"
"Dryopithecus_crusafonti" "Dryopithecus_fontani" "Rule 1B"
"Cantius_trigonodus" "Cantius_mckennai" "Rule 2B"
"Krabia_minuta" "Ganlea_megacanina" "Rule 2B"
"Hispanopithecus_sp_CL1_dash_18000" "HispanopithecusHispanopithecus_laietanus" "Rule 2B"
"Sivapithecus_parvada" "Sivapithecus_indicus" "Rule 2B"
"Sivapithecus_parvada" "Sivapithecus_simsoni" "Rule 2B"
"Graecopithecus_sp_XIR_dash_1_et_RPI_dash_128" "Graecopithecus_macedoniensis" "Rule 2B"
"Utahia_carina" "Utahia_kayi" "Rule 2B"
"Daubentonia_robusta" "Daubentonia_madagascariensis" "Rule 2B"
"Megaladapis_grandidieri" "Megaladapis_madagascariensis" "Rule 1B"
