,FAD,LAD
Absarokius_abbotti,55.8,50.3
Acidomomys_hebeticus,56.8,55.8
Acrecebus_fraileyi,11.608,7.246
Adapis_parisiensis,41.3,38
Aegyptopithecus_zeuxis,33.9,28.1
Afradapis_longicristatus,38,33.9
Aframonius_dieides,33.9,28.1
Afrasia_djijidae,41.3,38
Afropithecus_turkanensis,22.4,20
Afrotarsius_chatrathi,33.9,28.1
Afrotarsius_libycus,46.8,33.9
Agerinia_marandati,56,47.8
Agerinia_roselli,56,47.8
Agerinia_smithorum,56,47.8
Algeripithecus_minutus,56,41.3
Allenopithecus_nigroviridis,0,0
Allocebus_trichotis,0,0
Allochrocebus_lhoesti,0,0
Allochrocebus_solatus,0,0
Alophia_metios,23.03,15.97
Alouatta_belzebul,0,0
Alouatta_caraya,0,0
Alouatta_coibensis,0,0
Alouatta_guariba,0,0
Alouatta_macconnelli,0,0
Alouatta_nigerrima,0,0
Alouatta_palliatus,0,0
Alouatta_pigra,0,0
Alouatta_sara,0,0
Alouatta_seniculus,0,0
Altanius_orlovi,55.8,48.6
Altiatlasius_koulchii,59.2,56
Anapithecus_hernyaki,11.1,9.7
Anaptomorphus_aemulus,50.3,46.2
Anaptomorphus_westi,50.3,46.2
Anasazia_williamsoni,63.3,61.7
Anchomomys_frontanyensis,41.3,38
Anchomomys_gaillardi,56,41.3
Anchomomys_milleri,33.9,28.1
AnchomomysFendantia_pygmaeus,41.3,38
AnchomomysHuerzeleris_quercyi,41.3,38
Anemorhysis_natronensis,50.3,46.2
Anemorhysis_pattersoni,55.8,50.3
Anemorhysis_savagei,55.8,50.3
Anemorhysis_sublettensis,55.8,50.3
Anemorhysis_wortmani,55.8,50.3
Antillothrix_bernensis,0.004458,0.004066
Aotus_azarae,0,0
Aotus_brumbacki,0,0
Aotus_dindensis,16.3,15.5
Aotus_griseimembra,0,0
Aotus_lemurinus,0,0
Aotus_nancymaae,0,0
Aotus_nigriceps,0,0
Aotus_trivirgatus,0,0
Aotus_vociferans,0,0
Apidium_bowni,33.9,28.1
Apidium_moustafai,33.9,28.1
Apidium_phiomense,33.9,28.1
Apidium_zuetina,33.9,28.4
Arapahovius_advena,55.8,50.3
Arapahovius_gazini,55.8,50.3
Archaeoindris_fontoynontii,0.002149,0.002149
Archaeolemur_edwardsi,0.001,0.001
Archaeolemur_majori,0.0014,0.0014
Archicebus_achilles,55.8,48.6
Arcius_fuscus,56,47.8
Arcius_hookeri,56,47.8
Arcius_ilerdensis,56,47.8
Arcius_lapparenti,56,47.8
Arcius_rougieri,56,47.8
Arcius_zbyszewskii,56,47.8
Arctocebus_aureus,0,0
Arctocebus_calabarensis,0,0
Ardipithecus_ramidus,5.333,3.6
Arsinoea_kallimos,33.9,28.1
Aseanpithecus_myanmarensis,41.3,38
Asiadapis_cambayensis,56,47.8
Ateles_belzebuth,0,0
Ateles_chamek,0,0
Ateles_fusciceps,0,0
Ateles_geoffroyi,0,0
Ateles_hybridus,0,0
Ateles_marginatus,0,0
Ateles_paniscus,0,0
Australopithecus_africanus,3.6,2.588
Australopithecus_anamensis,5.333,2.588
Australopithecus_deyiremeda,5.333,2.588
Australopithecus_garhi,5.333,2.588
Australopithecus_sediba,3.6,2.588
Avahi_betsilio,0,0
Avahi_cleesei,0,0
Avahi_laniger,0,0
Avahi_meridionalis,0,0
Avahi_occidentalis,0,0
Avahi_peyrierasi,0,0
Avahi_ramanantsoavani,0,0
Avahi_unicolor,0,0
Avenius_amatorum,56,47.8
Aycrossia_lovei,50.3,46.2
Azibius_trerki,56,41.3
Babakotia_radofilai,0.00484,0.00484
Bahinia_banyueae,33.9,28.4
Bahinia_pondaungensis,41.3,38
Barnesia_hauboldi,48.6,37.2
Berruvius_lasseroni,59.2,56
Biretia_fayumensis,38,33.9
Biretia_megalopsis,38,33.9
Biretia_piveteaui,41.3,33.9
Brachyteles_arachnoides,0,0
Brachyteles_hypoxanthus,0,0
Branisella_boliviana,29,21
Brontomomys_cerutti,46,44
Bugtilemur_mathesoni,33.9,28.4
Bugtipithecus_inexpectans,33.9,28.4
Cacajao_calvus,0,0
Cacajao_hosomi,0,0
Cacajao_melanocephalus,0,0
Caenopithecus_lemuroides,47.8,41.3
Callicebus_coimbrai,0,0
Callicebus_nigrifrons,0,0
Callicebus_personatus,0,0
Callimico_goeldii,0,0
Callithrix_aurita,0,0
Callithrix_geoffroyi,0,0
Callithrix_jacchus,0,0
Callithrix_kuhlii,0,0
Callithrix_penicillata,0,0
Canaanimico_amazonensis,28.4,23.03
